title,link,alert_subject,first_seen
Kuda Hanyalah'Bukan Non-Kuda': Jawaban Teori Eksklusi Epistemologi-Linguistik Dharmakīrti atas Problem Universal,https://jurnaldekonstruksi.id/index.php/dekonstruksi/article/download/416/283,=?UTF-8?B?IsWaxatueWF0xIEiIE9SICLFm8WrbnlhIiAtIG5ldyByZXN1bHRz?=,2026-06-29 08:07:54
"Ambedkar, the Kyoto School, and Japanese Buddhism: on the possibilities and risks of Buddhism: K. Shimizu",https://link.springer.com/article/10.1057/s41311-026-00792-3,=?UTF-8?B?IsWaxatueWF0xIEiIE9SICLFm8WrbnlhIiAtIG5ldyByZXN1bHRz?=,2026-06-29 08:08:00
Toward a Neuro-Environmental Lens Meta-Model of Person-Situation Transactions,https://link.springer.com/chapter/10.1007/978-3-032-01453-5_18,"Carroll's  ""three-stratum""  hierarchy - new results",2026-08-08 10:01:34
On Expanding-Cosmological Expansion· Dark Energy the Cosmological Constant Λ,https://philpapers.org/archive/JOHOEN.pdf,=?UTF-8?B?IsWaxatueWF0xIEiIE9SICLFm8WrbnlhIiAtIG5ldyByZXN1bHRz?=,2026-06-29 08:07:58
"FACULTE DES ETUDES SUPERIEURES 1^= 1 FACULTY OF GRADUATE AND ET POSTOCTORALES U Ottawa POSDOCTORAL STUDIES L'Umversite"" …",https://ruor.uottawa.ca/server/api/core/bitstreams/5dfc4794-42b6-4391-925e-e512769b26a0/content,"Carroll's  ""three-stratum""  hierarchy - new results",2026-07-23 10:07:24
IL-10 accelerates the maturation of mouse hippocampal neurons in vitro,https://ui.adsabs.harvard.edu/abs/2026VTGUB..73..102S/abstract,sleep AND neuroplasticity - new results,2026-06-29 04:17:25
Sport-Related Activities as a Psychosocial Strategy for Mental Health Recovery Following Natural Disasters: A Narrative Review,https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2026.1894225/full,sleep AND neuroplasticity - new results,2026-06-29 04:17:22
"The Eastern Vision: From the Upanishads to the Living Sages Why the Eastern path is empiricism, not religion—a rigorous account of consciousness from the …",https://www.omnisentientcollective.ai/eastern-path-to-consciousness/,=?UTF-8?B?IsWaxatueWF0xIEiIE9SICLFm8WrbnlhIiAtIG5ldyByZXN1bHRz?=,2026-06-29 08:07:56
The Undergraduate History of Science Journal,https://www.researchgate.net/profile/Samuel-Cao/publication/405661482_A_Place_of_Happiness_for_the_Unclean_Biopolitics_Necropolitics_and_the_Architecture_of_Control_in_Culion/links/6a2bbca48ab2ac2a70971fe1/A-Place-of-Happiness-for-the-Unclean-Biopolitics-Necropolitics-and-the-Architecture-of-Control-in-Culion.pdf,"""Industriousness"" - new results",2026-06-17 08:58:31
An Applied Biopsychosocial Rehabilitation Framework for Complex Regional Pain Syndrome,https://www.researchgate.net/profile/Samuel-Curro/publication/407272432_Applied_Biopsychosocial_Rehabilitation_Framework_for_CRPS_-Curro_Fernandez_-2026_An_Applied_Biopsychosocial_Rehabilitation_Framework_for_Complex_Regional_Pain_Syndrome_Assessment_Stratification_Progre/links/6a34404dab275459110a8511/Applied-Biopsychosocial-Rehabilitation-Framework-for-CRPS-Curro-Fernandez-2026-An-Applied-Biopsychosocial-Rehabilitation-Framework-for-Complex-Regional-Pain-Syndrome-Assessment-Stratification-Prog.pdf,sleep AND neuroplasticity - new results,2026-06-29 04:17:23
The Effectiveness of Music-Based Sensory Activation Solutions (SAS) Method in Patients with Treatment-Resistant Nocturnal Enuresis,https://www.sciencedirect.com/science/article/pii/S1477513126004031,sleep AND neuroplasticity - new results,2026-06-29 04:17:25
"The Drowned Buddha: Buddhism, Ecology, and Mythopoeic Science in Kim Stanley Robinson's Science in the Capital Trilogy",https://www.zygonjournal.org/article/id/25180/,=?UTF-8?B?IsWaxatueWF0xIEiIE9SICLFm8WrbnlhIiAtIG5ldyByZXN1bHRz?=,2026-06-29 08:07:52
